epoch 0, train loss 278040576.000000, valid loss 252992608.000000
epoch 1, train loss 114899384.000000, valid loss 134226336.000000
epoch 2, train loss 111101504.000000, valid loss 130052544.000000
epoch 3, train loss 107540272.000000, valid loss 126126800.000000
epoch 4, train loss 104201008.000000, valid loss 122434064.000000
epoch 5, train loss 125214464.000000, valid loss 132563384.000000
epoch 6, train loss 97614072.000000, valid loss 115112040.000000
epoch 7, train loss 94893640.000000, valid loss 112071240.000000
epoch 8, train loss 92342864.000000, valid loss 109209864.000000
epoch 9, train loss 89951192.000000, valid loss 106517072.000000
